Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C2, C20, C21, C3, C4, C5",C_0603,9,100n,C14663
"C10, C9",C_0603,2,12p,C38523
C11,C_0603,1,10n,C57112
C12,C_0603,1,1u,C15849
"C14, C16, C18",C_0805,3,10u,C15850
"C17, C19, C23, C25",C_0603,4,100p,C14858
C6,C_0805,1,4.7u,C1779
"C7, C8",C_0603,2,30p,C1658
D1,D_0603,1,LED,C2290
D2,D_0603,1,LED,C2286
Q1,Q_SOT-23,1,BC817,C20069154
"R1, R2, R32",R_0603,3,510R,C23193
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R5, R8",R_0603,14,10k,C25804
"R22, R23, R24, R27, R28, R29, R6",R_0603,7,4k99,C23046
R25,R_0603,1,3k,C4211
"R26, R33, R7",R_0603,3,1k,C21190
"R3, R4",R_0603,2,100k,C25803
"R30, R34",R_0603,2,2k2,C4190
R31,R_0603,1,0R,C21189
R9,R_0603,1,4k7,C23162
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,SW_Push,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
"U3, U7",SOP-4_3.8x4.1mm_P2.54mm,2,Optocoupler,C42432283
"U4, U5",SSOP-24_5.3x8.2mm_P0.65mm,2,CD74HC4067SM,C98457
U6,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
Y1,CRYSTAL-SMD_L5.0-W3.2,1,8M,C115962
Y2,FC-135R_L3.2-W1.5,1,32k768,C32346
