Designator,Mid X,Mid Y,Rotation,Layer
BZ1,147.0,-72.75,270.0,top
C1,184.0,-76.5,180.0,top
C10,201.0,-88.5,0.0,top
C11,180.5,-76.5,0.0,top
C12,180.5,-78.0,0.0,top
C13,186.0,-64.5,0.0,top
C14,179.5,-63.5,180.0,top
C15,217.0,-57.45,270.0,top
C16,225.0,-93.5,0.0,top
C17,224.5,-91.0,0.0,top
C18,217.5,-93.5,0.0,top
C19,217.0,-91.0,0.0,top
C2,194.5,-87.5,0.0,top
C20,180.5,-101.0,90.0,top
C21,208.95,-98.5,90.0,top
C22,146.52,-102.0,0.0,top
C23,150.02,-95.0,270.0,top
C24,212.2,-71.5,180.0,top
C25,215.0,-62.0,90.0,top
C3,194.5,-86.0,0.0,top
C4,196.5,-80.5,0.0,top
C5,184.0,-86.0,180.0,top
C6,180.4625,-86.0,180.0,top
C7,203.2,-80.518,180.0,top
C8,199.898,-80.518,0.0,top
C9,201.0,-90.5,0.0,top
D1,218.125,-100.5,180.0,top
D2,223.625,-100.5,180.0,top
J1,197.5,-54.45,0.0,top
J10,197.45,-110.5,180.0,top
J11,225.73,-86.52,0.0,top
J12,178.45,-110.5,180.0,top
J13,209.45,-110.5,180.0,top
J14,145.52,-94.77,90.0,top
J15,224.46,-79.0,0.0,top
J16,223.19,-71.5,0.0,top
J17,167.75,-75.5,270.0,top
J18,165.0,-94.5,90.0,top
J19,159.45,-94.5,90.0,top
J2,182.46,-68.5,90.0,top
J20,153.95,-94.5,90.0,top
J21,215.46,-79.0,0.0,top
J22,153.95,-103.5,90.0,top
J23,159.45,-103.5,90.0,top
J24,164.95,-103.5,90.0,top
J25,145.52,-85.0,90.0,top
J26,158.21,-69.98,270.0,top
J3,209.5,-54.45,0.0,top
J4,209.46,-62.0,0.0,top
J5,156.4,-110.5,180.0,top
J6,165.4,-110.5,180.0,top
J7,183.95,-97.0,90.0,top
J8,197.5,-61.45,0.0,top
J9,190.45,-110.5,180.0,top
Q1,157.25,-79.75,270.0,top
R1,218.0875,-98.5,180.0,top
R10,182.45,-105.5,270.0,top
R11,213.45,-105.5,270.0,top
R12,180.45,-105.5,270.0,top
R13,211.45,-105.5,270.0,top
R14,178.45,-105.5,270.0,top
R15,209.45,-105.5,270.0,top
R16,176.45,-105.5,270.0,top
R17,207.45,-105.5,270.0,top
R18,174.45,-105.5,270.0,top
R19,205.45,-105.5,270.0,top
R2,223.625,-98.5,180.0,top
R20,172.45,-105.5,270.0,top
R21,203.45,-105.5,270.0,top
R22,165.5,-90.0,0.0,top
R23,159.95,-90.0,0.0,top
R24,154.45,-90.0,0.0,top
R25,150.02,-87.5,90.0,top
R26,165.0,-86.0,270.0,top
R27,154.45,-99.0,0.0,top
R28,159.95,-99.0,0.0,top
R29,165.45,-99.0,0.0,top
R3,201.0,-70.5,180.0,top
R30,150.02,-84.0,90.0,top
R31,156.25,-75.25,270.0,top
R32,158.25,-75.25,270.0,top
R33,160.25,-75.25,270.0,top
R34,160.25,-79.3375,270.0,top
R4,183.5,-71.0,0.0,top
R5,217.0,-53.95,270.0,top
R6,180.5,-97.0,270.0,top
R7,190.45,-106.0,180.0,top
R8,196.45,-105.5,90.0,top
R9,190.45,-92.0,180.0,top
SW1,224.0,-63.0,0.0,top
U1,189.5,-81.5,90.0,top
U2,186.0195,-58.315,180.0,top
U3,190.45,-100.2,0.0,top
U4,174.0,-97.5,180.0,top
U5,203.45,-98.0,180.0,top
U6,217.525,-86.5,180.0,top
U7,156.2,-85.77,90.0,top
Y1,201.5,-83.5,180.0,top
Y2,198.0,-89.5,90.0,top
